game_id,title,platform,platform_type,platform_maker,platform_generation,genre,year,publisher,developer,publisher_region,publisher_tier,esrb_rating,metacritic_score,user_score,critic_review_count,user_review_count,na_sales_million,eu_sales_million,jp_sales_million,other_sales_million,global_sales_million,estimated_revenue_million_usd,launch_price_usd,is_sequel,online_multiplayer,dlc_released,microtransactions,loot_boxes,game_pass_available,vr_support,goty_nominated,goty_won,how_long_to_beat_main_hrs,how_long_to_beat_completionist_hrs
G000025,Shadow of Horizon,NES,Console,Nintendo,3,Rhythm,1995,Remedy Entertainment,Remedy Entertainment,Finland,AA,T,65,6.8,17,420,1.48,0.94,0.34,0.32,3.08,138.62,69.99,0,0,0,0,0,0,0,0,0,10.0,43.5
G000026,Batman: Arkham Valley,Sega Genesis,Console,Sega,4,Rhythm,1997,Warner Bros. Games,Double Fine,USA,AAA,E,70,7.4,10,341,7.79,5.13,1.2,2.25,16.37,699.74,59.99,1,0,0,0,0,0,0,0,0,15.3,71.9
G000027,Fall Guys Remastered,PC,PC,Various,0,Battle Royale,2022,Supergiant Games,Warner Bros. Games,USA,Indie,E,81,8.7,25,177,5.95,3.98,1.22,1.69,12.84,308.42,29.99,0,1,1,1,1,0,0,0,0,82.0,184.8
G000028,Kirby's Origins,Mobile (Android),Mobile,Google,0,Platform,2023,Valve,Klei Entertainment,USA,AAA,E10+,70,6.1,49,97,15.79,11.54,1.98,6.31,35.62,72.0,0.99,0,1,0,0,0,0,1,0,0,7.9,19.7
G000029,WWE 2023,PlayStation 4,Console,Sony,8,Sports,2020,Microsoft Studios,Microsoft Studios,USA,AAA,E10+,74,7.9,214,1013,30.12,22.26,1.97,7.92,62.27,2000.37,49.99,1,1,1,1,1,1,0,0,0,20.7,75.8
G000030,Forza Motorsport 3,Xbox Series X/S,Console,Microsoft,9,Racing,2021,Deep Silver,Annapurna Interactive,Germany,AA,Not Rated,74,6.5,7,78,2.58,2.28,0.52,0.59,5.97,287.4,69.99,1,0,1,1,0,0,0,0,0,13.2,59.6
G000031,Spyro: Reckoning,NES,Console,Nintendo,3,Platform,2003,Square Enix,id Software,Japan,AAA,E,61,7.2,15,137,7.18,4.76,1.83,1.59,15.36,687.34,59.99,0,1,1,0,0,0,0,0,0,12.5,45.4
G000032,Baldur's Gate 6,Game Boy Color,Handheld,Nintendo,5,Role-Playing,1998,Nintendo,Nintendo,Japan,AAA,E,84,9.3,10,318,5.52,4.42,3.81,1.34,15.09,508.3,49.99,1,0,1,0,0,0,0,0,0,70.8,149.2
G000033,Yoshi's Reborn,PlayStation 3,Console,Sony,7,Platform,2010,Warner Bros. Games,Warner Bros. Games,USA,AAA,T,82,8.4,17,219,50.97,35.77,11.3,6.09,104.13,4124.94,79.99,0,1,0,0,0,0,0,0,0,11.6,39.3
G000034,Battlefield Dragon,PlayStation,Console,Sony,5,Shooter,2005,InXile Entertainment,InXile Entertainment,USA,AA,E10+,54,6.0,32,26,2.11,1.42,0.42,0.43,4.38,215.71,69.99,0,1,0,0,0,0,0,0,0,7.9,21.5
G000035,King of Fighters 2024,NES,Console,Nintendo,3,Fighting,2001,Konami,Konami,Japan,AAA,M,77,7.6,16,52,5.2,3.96,4.0,1.26,14.42,521.06,69.99,1,1,1,1,0,0,0,0,0,3.6,7.5
G000036,Fallen Awakening,PlayStation 5,Console,Sony,9,Action,2025,CD Projekt,Focus Entertainment,Poland,AAA,M,84,8.2,7,63,14.87,11.54,3.04,2.44,31.89,1174.34,39.99,0,0,0,0,0,0,0,0,0,5.1,10.9
G000037,Shadow of Kingdom,Mobile (iOS),Mobile,Apple,0,Action,2018,id Software,Deep Silver,USA,AAA,M,72,7.2,25,89,105.71,75.86,6.44,11.6,199.61,425.79,2.99,0,0,1,0,0,0,0,0,0,11.0,52.5
G000038,The Sims 5,Nintendo Switch,Hybrid,Nintendo,9,Simulation,2023,InXile Entertainment,InXile Entertainment,USA,AA,T,68,5.0,11,311,1.3,0.66,0.36,0.4,2.72,92.68,59.99,1,0,1,0,0,0,0,0,0,36.0,173.0
G000039,Euro Truck Simulator 2,Xbox,Console,Microsoft,6,Simulation,2003,id Software,id Software,USA,AAA,T,81,8.1,94,1403,12.05,8.01,2.71,2.96,25.73,1105.85,49.99,1,0,1,0,0,0,0,0,0,31.9,136.8
G000040,Rayman Genesis,PC,PC,Various,0,Platform,2001,FromSoftware,FromSoftware,Japan,AAA,Not Rated,74,5.6,23,18620,5.75,5.09,1.3,2.04,14.18,225.73,14.99,0,0,1,1,0,0,0,0,0,10.2,50.3
G000041,Rayman Knight,Browser,Browser,Various,0,Platform,2017,2K Games,Nomada Studio,USA,AAA,E,84,7.9,21,144,39.27,20.3,8.92,13.94,82.43,0.0,0.0,0,0,1,1,0,0,0,0,0,9.1,33.0
G000042,eFootball 2023,PC,PC,Various,0,Sports,2015,ConcernedApe,ConcernedApe,USA,Indie,E,76,7.4,8,101,2.27,1.92,0.52,0.27,4.98,113.44,49.99,1,1,0,1,1,0,0,0,0,26.9,121.5
G000043,Rise of the Saga,Game Boy Color,Handheld,Nintendo,5,Action,1999,Team17,Toby Fox,UK,AA,E10+,82,7.1,16,754,0.7,0.42,0.08,0.07,1.27,37.68,49.99,0,0,1,0,0,0,0,0,0,9.5,20.6
G000044,Apex: New Dawn,PC,PC,Various,0,Shooter,2009,Valve,Valve,USA,AAA,M,84,6.8,7,242,5.56,3.85,0.69,2.16,12.26,197.24,39.99,0,1,1,1,0,0,0,0,0,12.7,41.1
G000045,Rainbow Six: Realm,PSP,Handheld,Sony,7,Shooter,2013,505 Games,505 Games,Italy,AA,M,70,7.2,7,530,1.52,0.65,0.13,0.45,2.75,83.87,49.99,0,1,1,0,0,0,0,0,0,4.6,21.9
G000046,Doom Remastered,Xbox One,Console,Microsoft,8,Action,2020,Capcom,Bethesda Softworks,Japan,AAA,M,66,6.1,47,55,11.26,6.19,4.74,1.27,23.46,835.49,79.99,0,0,1,0,0,0,0,0,0,11.2,31.3
G000047,Dragon Quest X,PlayStation 4,Console,Sony,8,Role-Playing,2016,Team17,Team17,UK,AA,M,87,7.6,100,405,2.76,2.12,0.3,0.65,5.83,182.97,69.99,1,0,0,0,0,0,0,0,0,46.4,99.8
G000048,Apex: The Fallen,Sega Saturn,Console,Sega,5,Shooter,1996,Sony Interactive,Sony Interactive,Japan,AAA,Not Rated,78,5.8,13,4698,4.81,2.49,1.64,1.64,10.58,444.6,69.99,0,1,1,1,0,0,0,0,0,9.6,37.1
G000049,SoulCalibur XVI,NES,Console,Nintendo,3,Fighting,1993,id Software,id Software,USA,AAA,E,72,7.2,29,449,15.53,8.59,4.29,4.09,32.5,1055.64,69.99,1,1,1,1,0,0,0,0,0,4.9,14.5
G000050,Tekken 4,Game Boy,Handheld,Nintendo,4,Fighting,1993,Nintendo,505 Games,Japan,AAA,M,83,7.3,31,215,8.05,5.25,5.63,0.81,19.74,420.96,29.99,1,1,1,1,0,0,0,0,0,6.4,17.7
G000051,Crusader Kings XII,PlayStation 5,Console,Sony,9,Strategy,2024,Sega,Humble Games,Japan,AAA,E,75,7.1,4,84,5.45,3.53,2.99,1.89,13.86,520.91,79.99,1,1,0,1,0,0,0,0,0,29.0,111.1
G000052,XCOM 6,Xbox One,Console,Microsoft,8,Strategy,2019,Ghost Ship Games,Motion Twin,Denmark,Indie,T,69,6.6,42,1118,2.73,2.39,0.45,0.45,6.02,287.83,79.99,1,1,0,0,0,0,0,0,0,1.0,3.6
G000053,Elden Knight,Game Boy Advance,Handheld,Nintendo,6,Role-Playing,2002,Valve,Double Fine,USA,AAA,M,73,5.9,7,252,2.23,1.44,0.21,0.89,4.77,129.07,29.99,0,0,1,0,0,0,0,0,0,44.0,162.1
G000054,Dead Space 3,Nintendo 64,Console,Nintendo,5,Survival Horror,2000,Larian Studios,THQ Nordic,Belgium,AA,E,66,5.0,55,350,1.37,1.02,0.19,0.2,2.78,123.2,69.99,1,1,1,0,0,0,0,0,0,10.6,38.0
G000055,Guilty Gear : Redux,Game Boy Advance,Handheld,Nintendo,6,Fighting,2005,Toby Fox,Annapurna Interactive,USA,Indie,E,69,6.0,7,180,0.76,0.49,0.21,0.16,1.62,35.47,39.99,0,1,0,0,0,0,0,0,0,5.4,15.9
G000056,Horizon of the Reborn,Nintendo 64,Console,Nintendo,5,Role-Playing,2002,Naughty Dog,Naughty Dog,USA,AAA,M,70,7.5,48,1064,7.72,3.13,1.84,2.98,15.67,625.46,39.99,0,0,1,0,0,0,0,0,0,40.5,152.3
G000057,Doom : Redux,PC,PC,Various,0,Action,2012,Sega,Insomniac Games,Japan,AAA,T,76,7.1,70,160,6.0,4.27,3.65,1.9,15.82,325.92,9.99,0,1,0,0,0,0,0,0,0,22.8,49.5
G000058,Alien: New Dawn,Nintendo Switch,Hybrid,Nintendo,9,Survival Horror,2018,Insomniac Games,Square Enix,USA,AAA,M,77,7.7,5,202,2.53,2.05,0.22,0.3,5.1,162.07,49.99,0,1,1,1,1,0,0,0,0,12.4,41.0
G000059,Fall Guys : Redux,PlayStation 2,Console,Sony,6,Battle Royale,2005,Humble Games,Humble Games,USA,Indie,Not Rated,77,7.2,52,277,0.73,0.35,0.19,0.18,1.45,49.22,69.99,0,1,1,0,0,0,0,0,0,172.9,617.3
G000060,Final Fantasy XIV: New Dawn,Game Boy,Handheld,Nintendo,4,MMORPG,1993,Valve,Valve,USA,AAA,E10+,81,9.7,7,109,2.69,1.5,0.78,0.43,5.4,179.4,29.99,0,1,0,0,0,0,0,0,0,157.8,777.4
G000061,Titanfall 2,GameCube,Console,Nintendo,6,Shooter,2005,Bandai Namco,Obsidian Entertainment,Japan,AAA,E,72,6.7,4,2413,10.65,7.14,4.11,1.84,23.74,921.05,39.99,1,1,1,0,0,0,0,0,0,10.7,30.0
G000062,Rise of the Knight,PC,PC,Various,0,Action,1987,Electronic Arts,Epic Games,USA,AAA,E,68,6.4,106,75,3.7,2.26,0.54,1.41,7.91,163.89,59.99,0,0,1,0,0,0,0,0,0,21.0,80.3
G000063,Stardew Genesis,Atari 2600,Console,Atari,2,Simulation,1988,Epic Games,Epic Games,USA,AAA,E,79,8.9,9,2550,3.11,1.33,0.86,1.14,6.44,284.74,59.99,0,0,1,0,0,0,0,0,0,47.3,230.0
G000064,Goat Simulator 6,Wii,Console,Nintendo,7,Simulation,2010,505 Games,505 Games,Italy,AA,M,60,5.8,32,73,2.59,1.31,0.21,0.29,4.4,186.63,59.99,1,0,1,1,0,0,0,0,0,50.5,158.4
G000065,Tetris Legacy,NES,Console,Nintendo,3,Puzzle,1988,Konami,Rockstar Games,Japan,AAA,T,86,7.7,26,496,14.43,6.33,7.2,1.51,29.47,897.4,59.99,0,0,0,1,0,0,0,0,0,8.4,32.9
G000066,Yoshi's Genesis,PC,PC,Various,0,Platform,1999,Insomniac Games,ConcernedApe,USA,AAA,M,79,7.1,24,116,2.17,1.05,0.53,0.57,4.32,81.1,59.99,0,1,0,0,0,0,0,0,0,2.0,9.7
G000067,The Knight Witness,PlayStation,Console,Sony,5,Puzzle,2004,Capcom,Capcom,Japan,AAA,T,79,8.1,26,169,1.19,1.01,0.65,0.36,3.21,106.24,39.99,0,0,0,0,0,0,0,0,0,7.5,19.1
G000068,Shadow of Abyss,PlayStation 3,Console,Sony,7,Action,2015,FromSoftware,FromSoftware,Japan,AAA,E,78,7.8,32,229,30.37,20.21,19.75,10.99,81.32,3216.63,49.99,0,1,0,0,0,0,0,0,0,11.8,48.2
G000069,Portal 4,Nintendo 3DS,Handheld,Nintendo,8,Puzzle,2013,Chucklefish,Chucklefish,UK,Indie,M,81,8.4,24,37,0.91,0.4,0.21,0.2,1.72,37.25,49.99,1,0,0,0,0,0,0,0,0,12.2,27.3
G000070,Rise of the Knight,Wii,Console,Nintendo,7,Action,2013,Warner Bros. Games,Warner Bros. Games,USA,AAA,E10+,76,8.3,43,523,12.69,6.17,2.05,3.39,24.3,1141.53,39.99,0,0,0,0,0,0,0,0,0,19.5,77.9
G000071,The Elder Scrolls XII: Reckoning,PlayStation Vita,Handheld,Sony,8,Role-Playing,2016,Take-Two Interactive,Take-Two Interactive,USA,AAA,T,77,6.7,8,114,1.71,0.91,0.22,0.34,3.18,99.14,29.99,0,0,1,0,0,0,0,0,0,72.0,332.5
G000072,F-Zero Legacy,Xbox,Console,Microsoft,6,Racing,2006,Nintendo,Nintendo,Japan,AAA,M,79,6.6,19,574,8.64,6.64,6.33,3.02,24.63,901.35,59.99,0,0,1,0,0,0,0,0,0,10.4,45.1
G000073,Yoshi's Genesis,SNES,Console,Nintendo,4,Platform,1993,id Software,id Software,USA,AAA,AO,89,9.8,11,73,15.5,9.38,3.56,5.17,33.61,1449.76,79.99,0,0,1,0,0,0,0,1,0,12.9,51.3
G000074,Super Mario Awakening,GameCube,Console,Nintendo,6,Platform,2003,CD Projekt,CD Projekt,Poland,AAA,T,76,8.1,20,141,4.49,3.93,0.55,0.76,9.73,453.93,39.99,0,0,1,0,0,0,0,0,0,8.9,38.8
G000075,Batman: Arkham Realm,Game Boy Color,Handheld,Nintendo,5,Action-Adventure,2002,Sony Interactive,Sony Interactive,Japan,AAA,T,85,9.0,7,277,11.27,5.12,3.92,4.06,24.37,547.13,19.99,0,0,1,0,0,0,0,0,0,7.8,28.0
G000076,Blaze Unleashed,Nintendo Switch,Hybrid,Nintendo,9,Misc,2026,Toby Fox,Toby Fox,USA,Indie,M,66,5.7,5,174,1.09,0.78,0.19,0.2,2.26,96.4,39.99,0,0,0,0,0,0,0,0,0,10.2,27.6
G000077,Crusader Kings VII,Wii,Console,Nintendo,7,Strategy,2010,Electronic Arts,Electronic Arts,USA,AAA,Not Rated,90,8.3,11,1207,47.21,27.16,11.3,6.87,92.54,2945.8,49.99,1,0,1,0,0,0,0,1,0,25.8,114.2
G000078,Dark Odyssey,PlayStation 5,Console,Sony,9,Action-Adventure,2021,Ubisoft,THQ Nordic,France,AAA,T,70,6.4,33,404,15.3,7.71,3.34,1.58,27.93,1213.23,79.99,0,0,1,0,0,1,0,0,0,10.8,50.0
G000079,Madden NFL 2026,PlayStation 2,Console,Sony,6,Sports,2009,FromSoftware,FromSoftware,Japan,AAA,M,77,9.5,23,235,35.2,21.55,12.99,8.21,77.95,3627.35,69.99,1,1,1,0,0,0,0,0,0,18.5,39.4
G000080,Devil May Escape,NES,Console,Nintendo,3,Action,1992,Epic Games,InXile Entertainment,USA,AAA,M,76,6.9,13,243,2.59,1.8,0.77,0.54,5.7,267.32,49.99,0,0,0,0,0,0,0,0,0,13.7,36.7
G000081,Titanfall 6,NES,Console,Nintendo,3,Shooter,1996,Other,Deep Silver,Various,Indie,AO,69,7.6,12,41,0.46,0.33,0.1,0.14,1.03,45.85,49.99,1,1,1,0,0,0,0,0,0,3.6,15.3
G000082,eFootball 2025,Nintendo Switch,Hybrid,Nintendo,9,Sports,2022,Activision Blizzard,Activision Blizzard,USA,AAA,T,82,8.6,5,177,35.16,24.08,2.97,13.6,75.81,3226.46,69.99,1,1,1,1,0,0,0,0,0,13.8,40.2
G000083,Madden NFL 2025,Mobile (iOS),Mobile,Apple,0,Sports,2017,Electronic Arts,Naughty Dog,USA,AAA,E,68,6.3,15,382,47.16,28.83,4.38,8.51,88.88,247.16,4.99,1,1,1,1,1,0,0,0,0,22.2,51.6
G000084,Until Dawn 3,Game Boy Advance,Handheld,Nintendo,6,Survival Horror,2008,Bethesda Softworks,Microsoft Studios,USA,AAA,E10+,77,8.7,29,10,2.38,1.86,0.3,0.88,5.42,164.72,29.99,1,1,1,0,0,0,0,0,0,13.9,41.1
G000085,Tetris : Redux,Wii U,Console,Nintendo,8,Puzzle,2013,Remedy Entertainment,Remedy Entertainment,Finland,AA,T,68,6.8,33,739,0.66,0.5,0.15,0.14,1.45,65.33,69.99,0,0,0,0,0,0,0,0,0,6.6,14.3
G000086,Planet Reborn,PC,PC,Various,0,Simulation,1996,Konami,Sega,Japan,AAA,E10+,81,7.5,21,438,12.73,6.99,7.76,4.29,31.77,601.59,29.99,0,0,1,0,0,0,0,0,0,49.0,166.9
G000087,Valheim 2,Mobile (Android),Mobile,Google,0,Sandbox,2015,Epic Games,Microsoft Studios,USA,AAA,M,76,7.3,30,330,79.41,35.15,11.99,16.22,142.77,264.31,2.99,1,0,0,1,0,0,0,0,0,78.0,350.8
G000088,Rise of the Legend,PlayStation 4,Console,Sony,8,Action,2015,Nintendo,Nintendo,Japan,AAA,AO,75,7.9,55,47,15.86,8.0,13.53,3.21,40.6,1322.01,59.99,0,1,0,1,0,0,0,0,0,11.2,46.5
G000089,Crusader Kings XII,Xbox One,Console,Microsoft,8,Strategy,2013,Take-Two Interactive,Take-Two Interactive,USA,AAA,M,79,8.3,36,209,3.64,3.22,0.45,0.63,7.94,363.1,79.99,1,1,0,1,0,0,0,0,0,17.6,64.6
G000090,Ridge Racer 6,Xbox One,Console,Microsoft,8,Racing,2015,Sega,Sega,Japan,AAA,E,79,7.7,10,233,22.35,10.07,11.87,2.41,46.7,1729.52,39.99,1,1,1,1,1,0,0,0,0,12.2,57.3
G000091,Crusader Kings IV,PC,PC,Various,0,Strategy,1999,Electronic Arts,ConcernedApe,USA,AAA,M,78,8.3,7,106,1.62,1.28,0.23,0.32,3.45,75.98,14.99,1,0,1,0,0,0,0,0,0,21.5,59.6
G000092,Black Alert 2,NES,Console,Nintendo,3,Shooter,1992,Bethesda Softworks,Bethesda Softworks,USA,AAA,E10+,77,9.0,16,63,8.81,7.65,2.02,2.0,20.48,696.43,69.99,1,1,1,0,0,0,0,0,0,9.8,39.9
G000093,Euro Truck Simulator 3,Game Boy Advance,Handheld,Nintendo,6,Simulation,2008,Electronic Arts,Electronic Arts,USA,AAA,M,81,6.8,6,553,20.79,16.64,4.33,4.55,46.31,977.05,29.99,1,1,0,0,0,0,0,0,0,47.4,189.0
G000094,TrackMania Knight,Game Boy,Handheld,Nintendo,4,Racing,1993,2K Games,2K Games,USA,AAA,M,82,8.2,14,644,2.13,1.1,0.17,0.23,3.63,106.49,19.99,0,1,0,0,0,0,0,0,0,16.7,73.6
G000095,Minecraft Evolved,PlayStation 5,Console,Sony,9,Sandbox,2020,Naughty Dog,Naughty Dog,USA,AAA,E,88,8.3,11,130,11.12,8.92,0.8,2.48,23.32,901.58,39.99,0,1,0,0,0,0,0,0,0,188.8,886.8
G000096,Halo Reborn,SNES,Console,Nintendo,4,Action,2003,Devolver Digital,Deep Silver,USA,AA,M,68,7.0,47,164,1.08,0.74,0.3,0.36,2.48,96.23,79.99,0,0,1,0,0,0,0,0,0,9.6,46.2
G000097,Gone Home Reborn,Mobile (iOS),Mobile,Apple,0,Adventure,2008,Double Fine,Microsoft Studios,USA,AA,E,67,6.1,12,33,4.36,1.95,0.85,1.25,8.41,24.3,2.99,0,0,1,0,0,0,0,0,0,9.9,42.6
G000098,eFootball 2024,PC,PC,Various,0,Sports,2025,tinyBuild,tinyBuild,USA,Indie,E,72,7.6,9,268,6.57,2.66,1.57,1.99,12.79,290.89,14.99,1,1,0,1,0,0,0,0,0,27.5,137.3
G000099,Battlefield Genesis,PC,PC,Various,0,Shooter,2002,Larian Studios,id Software,Belgium,AA,T,64,5.5,5,1326,0.73,0.64,0.06,0.28,1.71,25.79,29.99,0,1,1,0,0,0,0,0,0,13.4,33.6
G000100,God of War,PC,PC,Various,0,Misc,1988,Nintendo,Nintendo,Japan,AAA,T,83,9.6,16,3715,2.69,1.78,2.35,0.91,7.73,135.78,14.99,0,1,0,0,0,0,0,0,0,18.4,51.9
G000101,Gran Turismo 3,Xbox,Console,Microsoft,6,Racing,2009,Annapurna Interactive,Obsidian Entertainment,USA,Indie,T,86,8.0,22,266,3.93,2.11,1.03,0.43,7.5,336.17,69.99,1,1,0,1,0,0,0,0,0,9.0,38.2
G000102,F1 2026,NES,Console,Nintendo,3,Sports,1991,Sony Interactive,InXile Entertainment,Japan,AAA,T,89,8.4,10,285,39.55,29.19,21.95,5.72,96.41,4376.15,79.99,1,1,0,1,0,0,0,1,0,21.7,55.0
G000103,Thunder Unleashed,Nintendo 64,Console,Nintendo,5,Action,1999,FromSoftware,FromSoftware,Japan,AAA,M,70,7.1,13,1318,8.26,6.96,6.48,3.25,24.95,1083.51,79.99,0,0,1,1,0,0,0,0,0,8.6,31.4
G000104,Dirt 6,NES,Console,Nintendo,3,Racing,1986,Sega,Annapurna Interactive,Japan,AAA,M,76,7.8,11,227,8.75,6.54,4.21,2.72,22.22,857.89,79.99,1,0,1,1,0,0,0,0,0,20.0,75.1
G000105,Sonic the Hedgehog 4,Mobile (iOS),Mobile,Apple,0,Platform,2024,Rockstar Games,Rockstar Games,USA,AAA,E,87,8.0,24,31,61.21,41.97,10.14,16.38,129.7,311.53,0.0,1,0,1,0,0,0,0,0,0,9.2,37.3
G000106,eFootball 2026,PSP,Handheld,Sony,7,Sports,2007,Konami,Konami,Japan,AAA,T,69,6.3,7,1343,7.36,3.73,5.74,2.92,19.75,508.56,49.99,1,1,0,1,0,0,0,0,0,14.7,72.5
G000107,Devil May Ascend,Game Boy,Handheld,Nintendo,4,Misc,2000,Insomniac Games,Insomniac Games,USA,AAA,T,80,7.3,29,311,7.51,6.69,1.1,2.31,17.61,524.82,19.99,0,1,1,0,0,0,0,0,0,13.9,57.4
